Title,Rating,Popular,SalesPerWeek,Price,ReqSpec,Overall
Super Mario Galaxy,High,No,21,40,Low,Good
Pokemon Omega Ruby/Pokemon Alpha Sapphire,High,No,15,26,Medium,Bad
Super Mario Land 2: 6 Golden Coins,High,Yes,38,30,High,Good
Grand Theft Auto IV,Average,Yes,42,34,Medium,Good
Gran Turismo,High,Yes,13,34,Medium,Good
Super Mario 3D Land,High,Yes,33,11,Low,Good
Gran Turismo 5,High,Yes,42,39,High,Good
Call of Duty: Modern Warfare 2,High,No,36,16,High,Good
Grand Theft Auto IV,Low,Yes,19,33,Medium,Bad
Super Mario All-Stars,Average,No,20,38,High,Bad
Pokemon FireRed/Pokemon LeafGreen,High,Yes,49,27,Low,Good
Super Mario 64,High,Yes,18,22,Low,Good
Just Dance 3,High,Yes,48,20,Low,Good
Call of Duty: Ghosts,High,No,23,17,Medium,Good
Halo: Reach,High,No,11,32,Medium,Bad
Mario Kart 64,High,No,20,39,High,Bad
New Super Mario Bros. 2,High,No,46,35,Medium,Good
Halo 4,Average,No,50,40,Low,Good
Final Fantasy VII,High,No,22,34,High,Good
Call of Duty: Ghosts,Average,No,22,35,High,Good
Just Dance 2,Low,Yes,31,39,Low,Bad
Gran Turismo 2,Low,No,44,36,Medium,Bad
Call of Duty 4: Modern Warfare,High,No,36,34,High,Good
Donkey Kong Country,Average,Yes,38,34,High,Good
Minecraft,High,Yes,45,16,Medium,Good
Animal Crossing: New Leaf,Average,No,25,11,Low,Good
Mario Party DS,Average,No,20,19,Medium,Bad
The Elder Scrolls V: Skyrim,Low,No,28,29,Low,Bad
Super Mario Kart,High,No,25,26,Low,Good
FIFA 16,Low,No,43,29,High,Bad
Wii Party,High,Yes,19,21,Medium,Good
Halo 2,Average,Yes,38,26,Medium,Good
Mario Party 8,Average,Yes,18,34,High,Bad
Pokemon Black 2/Pokemon White 2,High,Yes,29,12,Medium,Good
FIFA Soccer 13,High,Yes,39,37,Low,Good
The Sims 3,High,Yes,16,24,Medium,Good
GoldenEye 007,High,No,19,12,Medium,Bad
Mario & Sonic at the Olympic Games,Average,Yes,25,12,Medium,Good
Final Fantasy X,Average,Yes,11,13,Medium,Bad
Final Fantasy VIII,High,No,17,27,Medium,Bad
Pokémon Platinum Version,Average,Yes,36,40,Medium,Good
Pac-Man,High,Yes,31,12,Medium,Good
Grand Theft Auto: Liberty City Stories,Average,No,17,25,Medium,Bad
Super Mario Galaxy 2,Average,No,35,10,High,Good
Star Wars Battlefront (2015),Average,No,46,32,Medium,Good
Call of Duty: Advanced Warfare,Average,Yes,30,18,Medium,Good
The Legend of Zelda: Ocarina of Time,Low,No,18,26,High,Bad
Crash Bandicoot 2: Cortex Strikes Back,Average,Yes,24,29,Low,Good
Super Mario Bros. 2,Average,Yes,45,12,Medium,Good
Super Smash Bros. for Wii U and 3DS,Low,Yes,30,39,High,Bad
Call of Duty: World at War,High,Yes,30,35,Low,Good
Battlefield 3,High,No,15,21,Medium,Bad
The Legend of Zelda: Twilight Princess,High,Yes,30,38,Low,Good
Call of Duty: Black Ops 3,High,No,36,20,Medium,Good
Just Dance,Low,Yes,40,25,Low,Bad
Battlefield 3,Low,Yes,49,22,High,Bad
Need for Speed Underground,High,No,44,37,High,Good
Tekken 3,High,Yes,17,24,Medium,Good
Crash Bandicoot 3: Warped,High,Yes,45,24,Medium,Good
Super Smash Bros. Melee,High,Yes,26,14,Low,Good
Mario Kart 8,Average,No,46,15,High,Good
Fallout 4,High,No,24,31,Low,Good
Mario Kart: Double Dash!!,Low,Yes,13,37,High,Bad
Just Dance 4,Average,No,26,30,High,Good
FIFA 14,Low,Yes,14,31,High,Bad
Need for Speed Underground 2,Average,No,21,10,Medium,Good
Medal of Honor: Frontline,High,No,26,10,High,Good
Uncharted 3: Drake's Deception,High,Yes,45,40,Medium,Good
Crash Bandicoot,Average,Yes,30,35,High,Good
Zumba Fitness,High,Yes,43,20,High,Good
Gears of War 2,Average,No,23,40,Medium,Good
Uncharted 2: Among Thieves,Average,No,34,30,Medium,Good
Call of Duty 4: Modern Warfare,High,Yes,36,13,Low,Good
FIFA 12,Average,Yes,49,39,Medium,Good
Big Brain Academy,High,No,47,40,Medium,Good
Red Dead Redemption,Low,No,48,22,Medium,Bad
FIFA 15,Low,No,46,18,High,Bad
Donkey Kong Country Returns,Low,Yes,15,15,Medium,Bad
The Elder Scrolls V: Skyrim,Average,Yes,22,33,High,Good
The Legend of Zelda,High,No,38,37,Low,Good
Assassin's Creed III,High,Yes,14,35,High,Good
Halo: Combat Evolved,High,Yes,25,24,Low,Good
Pokémon Emerald Version,High,No,43,33,Low,Good
Kingdom Hearts,Average,Yes,10,20,High,Bad
Pokémon Crystal Version,High,Yes,24,29,Low,Good
Halo 3: ODST,High,Yes,44,15,Medium,Good
Red Dead Redemption,High,Yes,19,25,High,Good
Super Mario Sunshine,High,Yes,13,18,High,Good
Street Fighter II: The World Warrior,High,Yes,32,18,High,Good
World of Warcraft,High,Yes,36,26,Low,Good
Driver,High,Yes,43,16,Medium,Good
Kinect Sports,Average,Yes,17,34,Low,Bad
Gears of War 3,Low,No,31,33,High,Bad
Gears of War,Average,Yes,32,16,Medium,Good
Metal Gear Solid 2: Sons of Liberty,High,Yes,41,30,Medium,Good
Sonic the Hedgehog 2,High,Yes,21,11,High,Good
Metal Gear Solid 4: Guns of the Patriots,High,Yes,14,13,Medium,Good
Metal Gear Solid,High,Yes,22,36,Medium,Good
The Last of Us,High,No,35,38,Low,Good
Final Fantasy XII,High,No,16,15,Medium,Bad
LittleBigPlanet,High,Yes,15,26,Low,Good
Dragon Quest IX: Sentinels of the Starry Skies,High,Yes,39,23,High,Good
LEGO Star Wars: The Complete Saga,Low,Yes,22,35,Low,Bad
Resident Evil 2,High,No,30,22,High,Good
Tekken 2,Average,Yes,26,17,High,Good
Cooking Mama,Low,No,48,20,High,Bad
Destiny,Average,Yes,16,14,Medium,Bad
Tetris,Low,Yes,12,18,Low,Bad
Assassin's Creed II,Low,No,16,37,Low,Bad
Super Smash Bros.,Average,No,45,16,Medium,Good
Assassin's Creed,Average,Yes,16,17,High,Bad
Batman: Arkham City,High,Yes,32,32,Low,Good
Forza Motorsport 3,Average,No,23,12,Medium,Good
Monster Hunter Freedom Unite,Average,No,42,33,High,Good
Super Mario Advance,High,No,19,22,Medium,Bad
Mario Kart: Super Circuit,Average,Yes,17,37,Low,Bad
Super Mario World,High,No,17,12,Low,Bad
Pokemon Stadium,High,Yes,47,10,Low,Good
Call of Duty: World at War,High,Yes,21,39,Medium,Good
Crash Bandicoot: The Wrath of Cortex,High,No,48,11,Low,Good
Minecraft,High,No,30,24,Low,Good
Final Fantasy XIII,High,No,16,31,High,Bad
Dr. Mario,Average,Yes,11,24,Medium,Bad
Pokemon Pinball,Low,No,11,33,High,Bad
Assassin's Creed III,Low,Yes,24,34,High,Bad
Final Fantasy IX,Average,No,33,11,Low,Good
Final Fantasy X-2,High,No,43,39,High,Good
Donkey Kong 64,Low,Yes,33,15,Low,Bad
Assassin's Creed II,Average,Yes,49,29,High,Good
Professor Layton and the Curious Village,Low,Yes,35,35,Low,Bad
Tomb Raider II,High,Yes,46,17,Low,Good
Madden NFL 2004,High,Yes,36,40,Medium,Good
Dragon Quest VIII: Journey of the Cursed King,Low,No,36,32,High,Bad
Diablo III,High,Yes,43,19,Medium,Good
Super Mario Bros. 3,Average,Yes,33,23,High,Good
New Super Mario Bros. U,High,No,16,34,Low,Bad
Super Mario Land 3: Wario Land,Average,No,15,28,High,Bad
FIFA Soccer 13,High,Yes,14,28,Low,Good
The Legend of Zelda: Phantom Hourglass,High,No,46,10,Medium,Good
Donkey Kong Country 2: Diddy's Kong Quest,Average,No,48,33,Low,Good
Tomodachi Life,Average,No,35,11,High,Good
Mario & Sonic at the Olympic Games,Low,No,36,11,Medium,Bad
Medal of Honor: Rising Sun,Average,Yes,40,14,Low,Good
Kirby's Dream Land,High,No,48,10,High,Good
Fable III,High,Yes,26,16,Medium,Good
Call of Duty: Advanced Warfare,High,No,25,20,High,Good
Microsoft Flight Simulator,Low,No,11,22,Low,Bad
Guitar Hero II,Low,No,43,20,Medium,Bad
Resident Evil 5,Low,No,14,25,Medium,Bad
Grand Theft Auto V,High,Yes,13,24,Medium,Good
Grand Theft Auto: Vice City Stories,High,No,16,29,High,Bad
FIFA Soccer 11,High,Yes,19,31,Medium,Good
Super Mario Bros.,High,No,49,35,High,Good
Resident Evil,High,No,50,12,Medium,Good
Tony Hawk's Pro Skater,High,No,21,39,Low,Good
Super Smash Bros. for Wii U and 3DS,Average,Yes,15,33,High,Bad
Warzone 2100,High,Yes,16,40,Low,Good
Spyro the Dragon,Low,No,45,34,Low,Bad
Link's Crossbow Training,Average,No,44,35,Medium,Good
Guitar Hero III: Legends of Rock,Average,Yes,16,40,Medium,Bad
Fallout 3,High,Yes,44,11,Low,Good
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,High,No,40,27,Low,Good
Uncharted: Drake's Fortune,High,Yes,19,30,Low,Good
Madden NFL 06,High,Yes,13,26,Medium,Good
LEGO Star Wars: The Complete Saga,Low,Yes,44,16,Low,Bad
Diddy Kong Racing,High,Yes,40,20,Medium,Good
Monster Hunter Freedom 3,High,No,17,37,Medium,Bad
Dr. Mario,Average,Yes,45,20,Low,Good
God of War III,Low,Yes,36,39,Low,Bad
StarCraft II: Wings of Liberty,High,Yes,48,31,Medium,Good
Assassin's Creed,High,Yes,50,33,High,Good
FIFA 15,Low,Yes,28,22,High,Bad
Crash Team Racing,Average,No,28,11,Medium,Good
FIFA 17,High,No,34,30,High,Good
Batman: Arkham City,High,Yes,50,40,Low,Good
Driver 2,High,Yes,23,22,High,Good
The Simpsons: Hit & Run,High,No,26,20,Low,Good
Tony Hawk's Pro Skater 2,High,No,33,26,Low,Good
Animal Crossing: City Folk,Average,Yes,38,13,Medium,Good
The Lord of the Rings: The Two Towers,High,No,36,23,Medium,Good
Forza Motorsport 4,High,Yes,47,18,High,Good
Tomb Raider,Average,Yes,44,37,High,Good
Guitar Hero III: Legends of Rock,High,Yes,38,28,High,Good
The Legend of Zelda: A Link to the Past,High,No,39,34,Medium,Good
The Legend of Zelda: The Wind Waker,High,No,13,26,Medium,Bad
Mario & Sonic at the Olympic Winter Games,Average,No,14,30,High,Bad
Luigi's Mansion: Dark Moon,Low,Yes,48,14,Low,Bad
Splatoon,High,Yes,45,25,High,Good
The Last of Us,High,Yes,21,37,Medium,Good
Guitar Hero III: Legends of Rock,High,No,20,16,High,Bad
Madden NFL 2005,High,Yes,41,37,Medium,Good
Pitfall!,High,No,36,19,Low,Good
Madden NFL 07,High,No,48,35,Low,Good
Spider-Man: The Movie,Low,Yes,35,23,High,Bad
Dragon Quest VII: Warriors of Eden,High,Yes,33,27,Medium,Good
Uncharted: The Nathan Drake Collection,High,No,44,24,Medium,Good
Call of Duty: Advanced Warfare,High,No,28,38,Low,Good
God of War,Low,Yes,18,17,Medium,Bad
Nintendo Land,High,Yes,17,40,High,Good
Michael Jackson: The Experience,High,Yes,11,11,Medium,Good
Tony Hawk's Pro Skater 3,Average,Yes,12,21,Low,Bad
Winning Eleven: Pro Evolution Soccer 2007,High,No,37,14,Low,Good
The Elder Scrolls IV: Oblivion,Low,No,47,26,Low,Bad
Zelda II: The Adventure of Link,High,No,11,26,Low,Bad
Need for Speed: Most Wanted,High,No,49,21,Medium,Good
Resistance: Fall of Man,Low,Yes,17,13,Low,Bad
Sonic the Hedgehog,High,No,49,29,Medium,Good
Kingdom Hearts II,Average,Yes,39,18,Low,Good
FIFA 14,Low,No,33,29,Medium,Bad
Call of Duty: Advanced Warfare,High,No,14,34,Low,Bad
Asteroids,High,No,30,24,Low,Good
Fable II,High,Yes,37,19,Low,Good
Halo 5: Guardians,High,Yes,20,17,High,Good
Super Mario 3D World,High,No,31,27,Medium,Good
Batman: Arkham Asylum,High,No,41,33,Medium,Good
Assassin's Creed: Revelations,High,No,34,20,Medium,Good
Namco Museum,Average,Yes,44,11,Low,Good
Metal Gear Solid 3: Snake Eater,Average,Yes,17,11,Low,Bad
Daxter,Low,No,20,16,High,Bad
Warcraft II: Tides of Darkness,High,No,36,25,Low,Good
The Legend of Zelda: Ocarina of Time,High,No,26,19,High,Good
FIFA Soccer 06,High,No,42,17,High,Good
EyeToy Play,Low,No,31,27,Low,Bad
Uncharted 4: A Thief's End,High,Yes,44,22,Low,Good
Gran Turismo 5 Prologue,Average,No,38,38,Low,Good
Assassin's Creed: Revelations,Low,Yes,10,38,Low,Bad
Street Fighter IV,High,Yes,28,14,Low,Good
FIFA 12,Low,Yes,47,16,Low,Bad
Teenage Mutant Ninja Turtles,Low,Yes,14,39,Medium,Bad
Excitebike,High,Yes,22,13,Low,Good
Frogger,Average,No,30,20,Medium,Good
Madden NFL 2003,Average,Yes,23,29,Medium,Good
Watch Dogs,Low,No,24,31,High,Bad
Half-Life,High,Yes,29,22,Medium,Good
Super Mario World 2: Yoshi's Island,High,Yes,39,16,High,Good
FIFA Soccer 07,Average,No,45,17,Medium,Good
The Legend of Zelda: Skyward Sword,High,Yes,38,17,Low,Good
Street Fighter II Turbo,High,No,48,17,Medium,Good
Carnival Games,Average,Yes,46,14,Low,Good
Fallout 4,High,Yes,48,37,Low,Good
World of Warcraft: The Burning Crusade,Low,Yes,35,19,Medium,Bad
Fallout: New Vegas,Low,Yes,45,38,Low,Bad
God of War II,High,No,16,28,Medium,Bad
Forza Motorsport 2,High,No,22,13,Medium,Good
World Soccer Winning Eleven 9,High,No,17,29,High,Bad
Namco Museum Vol.3,High,Yes,16,33,High,Good
Tekken Tag Tournament,High,Yes,37,36,Medium,Good
Far Cry 4,High,No,39,34,Medium,Good
Star Fox 64,High,No,13,38,High,Bad
Minecraft,High,No,38,29,Low,Good
Golf,High,Yes,28,31,High,Good
Fallout 3,Average,No,50,20,Medium,Good
Professor Layton and the Diabolical Box,Low,No,23,27,Medium,Bad
Left 4 Dead 2,High,Yes,17,30,Medium,Good
Namco Museum: 50th Anniversary,High,Yes,28,36,High,Good
EA Sports Active,Average,No,14,29,High,Bad
Assassin's Creed: Unity,Average,Yes,12,27,Medium,Good
Donkey Kong Land,High,Yes,36,34,Medium,Good
Tony Hawk's Underground,Low,No,12,17,Low,Bad
Assassin's Creed IV: Black Flag,High,Yes,28,24,High,Good
Monster Hunter 4 Ultimate,High,No,39,18,Medium,Good
MotorStorm,Low,No,20,20,Low,Bad
The Elder Scrolls V: Skyrim,High,Yes,23,16,Medium,Good
Tekken 5,Low,Yes,46,27,Medium,Bad
Dragon Warrior III,Average,Yes,25,36,High,Good
Sports Champions,Average,Yes,25,35,Medium,Good
NBA 2K16,Low,No,15,11,Medium,Bad
World Soccer Winning Eleven 8 International,Low,No,31,39,Low,Bad
Flash Focus: Vision Training in Minutes a Day,High,Yes,31,15,High,Good
Namco Museum Vol.1,High,Yes,30,20,Low,Good
The Legend of Zelda: Link's Awakening,High,Yes,48,30,Medium,Good
Mario & Luigi: Bowser's Inside Story,Average,No,14,29,Low,Bad
Big Brain Academy: Wii Degree,High,Yes,34,10,High,Good
Nintendogs + cats,High,Yes,21,24,High,Good
Batman: Arkham Knight,High,Yes,50,10,High,Good
Mario & Sonic at the London 2012 Olympic Games,High,No,34,39,Medium,Good
LEGO Indiana Jones: The Original Adventures,High,Yes,18,33,High,Good
Resident Evil Director's Cut,High,No,26,34,Medium,Good
Ratchet & Clank: Size Matters,High,Yes,50,10,Low,Good
Just Dance 2014,High,No,41,17,Medium,Good
The Sims: Unleashed,High,No,13,19,Medium,Bad
Super Paper Mario,High,No,34,34,High,Good
Harry Potter and the Sorcerer's Stone,Low,No,10,25,High,Bad
The Witcher 3: Wild Hunt,High,No,40,27,Low,Good
Resident Evil 3: Nemesis,Low,No,42,16,Medium,Bad
Spyro: Year of the Dragon,Average,Yes,21,20,Medium,Good
FIFA Soccer 2005,Average,No,47,26,Medium,Good
Pokémon Trading Card Game,High,Yes,19,37,Low,Good
Battlefield 4,High,No,31,19,High,Good
MySims,High,No,38,32,High,Good
Friend Collection,High,Yes,44,25,Medium,Good
Tony Hawk's Pro Skater 4,High,No,29,32,High,Good
Midnight Club 3: DUB Edition,High,No,30,25,Low,Good
Banjo-Kazooie,Average,No,35,17,Low,Good
SOCOM: U.S. Navy SEALs,High,Yes,47,32,Medium,Good
Guitar Hero: World Tour,High,No,24,24,Medium,Good
Gran Turismo 6,High,No,35,28,Medium,Good
Jak and Daxter: The Precursor Legacy,High,Yes,29,13,Medium,Good
Pokemon Snap,Average,No,49,38,Medium,Good
FIFA Soccer 10,High,No,34,39,Medium,Good
Pro Evolution Soccer 2008,Average,No,17,40,High,Bad
Call of Duty: Ghosts,Low,No,18,25,Low,Bad
Resident Evil 4,Average,No,44,39,Medium,Good
Tom Clancy's The Division,Low,No,36,37,High,Bad
Star Wars: Battlefront,Low,Yes,46,24,Low,Bad
Doom II: Hell on Earth,High,No,14,38,High,Bad
The Simpsons: Road Rage,Average,No,33,21,Low,Good
Cooking Mama 2: Dinner With Friends,Average,No,23,22,Low,Good
Luigi's Mansion,High,No,50,30,High,Good
Star Wars: Battlefront II,High,Yes,35,31,High,Good
WWF SmackDown!,Low,Yes,33,17,Low,Bad
Croc: Legend of the Gobbos,Average,Yes,36,29,Medium,Good
Grand Theft Auto: Liberty City Stories,High,No,26,28,High,Good
The Getaway,Low,No,13,36,Medium,Bad
Tomb Raider III: Adventures of Lara Croft,Average,Yes,10,26,Low,Bad
James Bond 007: Agent Under Fire,Average,No,23,32,Low,Good
LEGO Star Wars: The Video Game,High,No,42,19,High,Good
Battlefield 4,High,No,16,26,Low,Bad
FIFA Soccer 11,High,Yes,45,30,Medium,Good
Rugrats in Paris: The Movie,High,No,26,23,Medium,Good
Spyro 2: Ripto's Rage!,Average,Yes,46,28,Low,Good
Left 4 Dead,Average,Yes,36,26,Low,Good
Mario & Sonic at the Olympic Winter Games,Low,Yes,25,18,Medium,Bad
Resident Evil 5,Average,No,40,33,Low,Good
Donkey Kong Country 3: Dixie Kong's Double Trouble!,High,No,22,10,Low,Good
Assassin's Creed: Brotherhood,Low,Yes,39,37,Medium,Bad
Kung Fu,Low,No,12,10,Low,Bad
Batman: Arkham Asylum,High,No,44,17,Medium,Good
Clubhouse Games,High,Yes,15,32,High,Good
FIFA Soccer 2004,Average,Yes,36,31,Medium,Good
Star Wars Battlefront (2015),High,No,16,17,Medium,Bad
Battlefield: Bad Company 2,High,No,16,35,Medium,Bad
Guitar Hero: On Tour,High,No,38,13,Low,Good
Assassin's Creed: Unity,High,Yes,47,34,High,Good
Far Cry 3,Low,Yes,10,28,Low,Bad
Monster Hunter 4,High,Yes,47,15,Medium,Good
Borderlands,Average,Yes,29,18,Medium,Good
Tekken 4,Average,No,15,13,Medium,Bad
Battlefield 4,High,No,38,16,High,Good
LittleBigPlanet 2,Average,No,48,39,Medium,Good
Grand Theft Auto 2,Low,No,47,39,Low,Bad
Final Fantasy III,High,Yes,23,16,Low,Good
Spider-Man 2,High,Yes,35,21,Low,Good
F-1 Race,High,Yes,34,16,High,Good
FIFA Soccer 2003,High,No,31,11,High,Good
Crash Bash,Low,No,50,32,High,Bad
LEGO Batman: The Videogame,High,Yes,44,25,Medium,Good
Metal Gear Solid V: The Phantom Pain,High,Yes,21,15,Low,Good
The Legend of Zelda: Spirit Tracks,High,Yes,34,13,High,Good
WWF War Zone,High,No,44,20,Medium,Good
The Legend of Zelda: Majora's Mask,Average,Yes,21,31,Low,Good
Professor Layton and the Unwound Future,High,Yes,30,12,Medium,Good
Rugrats: Search For Reptar,High,No,50,12,Low,Good
Assassin's Creed IV: Black Flag,Average,No,19,19,High,Bad
English Training: Have Fun Improving Your Skills!,Average,Yes,28,40,Medium,Good
James Bond 007: Nightfire,Average,Yes,34,30,Low,Good
Ratchet & Clank,High,Yes,21,25,Medium,Good
Mario Party 9,High,Yes,12,39,High,Good
Star Wars Episode III: Revenge of the Sith,High,No,46,10,High,Good
Max Payne,High,Yes,24,13,High,Good
The Lord of the Rings: The Return of the King,High,Yes,32,26,High,Good
Assassin's Creed Syndicate,Average,Yes,28,10,Low,Good
Destiny,High,No,38,19,Low,Good
True Crime: Streets of LA,High,No,46,30,High,Good
Wii Music,High,Yes,24,11,Low,Good
Gran Turismo (PSP),Average,Yes,23,27,Low,Good
Monster Hunter X,High,Yes,44,31,Medium,Good
Tekken,Average,No,39,26,Medium,Good
FIFA 16,High,Yes,42,15,High,Good
L.A. Noire,High,No,50,24,Medium,Good
Madden NFL 16,Low,No,30,24,High,Bad
Yokai Watch 2 Ganso/Honke,Average,No,16,21,High,Bad
007: Tomorrow Never Dies,High,No,42,29,Low,Good
Baseball,High,Yes,29,30,Low,Good
Killer Instinct,Average,No,40,39,Low,Good
WWF SmackDown! 2: Know Your Role,Average,No,21,24,High,Good
Crisis Core: Final Fantasy VII,Low,No,16,14,Medium,Bad
God of War: Chains of Olympus,High,Yes,39,37,Medium,Good
Dragon Quest VI: Maboroshi no Daichi,High,Yes,48,17,Low,Good
Dance Central,High,Yes,32,14,High,Good
Enter the Matrix,Average,No,39,22,Medium,Good
Super Mario Maker,High,Yes,45,20,Low,Good
Fallout: New Vegas,Average,No,12,24,Medium,Bad
LEGO Batman: The Videogame,High,Yes,26,25,High,Good
Rhythm Heaven,High,No,49,36,Low,Good
Ace Combat 04: Shattered Skies,High,No,28,39,High,Good
Club Penguin: Elite Penguin Force,High,Yes,42,38,Medium,Good
Animal Crossing,High,No,29,25,High,Good
LEGO Batman: The Videogame,High,Yes,15,13,Medium,Good
Sonic Rush,Low,No,10,16,Low,Bad
Resident Evil 6,Average,No,26,38,Low,Good
Halo: The Master Chief Collection,High,No,28,13,Medium,Good
FIFA Soccer 08,High,No,19,24,High,Bad
Spider-Man,Average,No,27,12,Low,Good
Need for Speed III: Hot Pursuit,High,Yes,43,19,Low,Good
Star Wars Episode I Racer,Average,No,48,29,Medium,Good
Personal Trainer: Cooking,High,No,39,12,High,Good
The Elder Scrolls IV: Oblivion,Low,No,43,21,Low,Bad
Dragon Warrior IV,Low,Yes,24,15,High,Bad
Heavy Rain,High,Yes,33,39,High,Good
Mass Effect 2,High,No,30,38,High,Good
FIFA 15,Low,No,46,15,Medium,Bad
Dragon Ball Z: Budokai,High,No,24,38,High,Good
Madden NFL 2002,Average,No,39,13,Low,Good
World Class Track Meet,Average,No,31,35,Low,Good
Borderlands 2,Average,No,23,28,Low,Good
The Legend of Zelda: A Link Between Worlds,Average,Yes,42,18,Medium,Good
Donkey Kong,High,No,14,23,High,Bad
The Sims: Vacation,High,Yes,40,15,Medium,Good
Mass Effect 3,High,Yes,30,38,Low,Good
Kung Fu Panda,High,Yes,18,37,Medium,Good
Far Cry 3,High,No,17,31,Medium,Bad
Epic Mickey,Low,No,17,17,High,Bad
Saints Row 2,High,Yes,48,33,High,Good
Rayman,High,No,46,29,Low,Good
Killzone 2,High,No,45,38,Low,Good
Tom Clancy's Splinter Cell,High,No,45,37,High,Good
Mike Tyson's Punch-Out!!,Average,No,16,26,Low,Bad
WWE SmackDown! Shut Your Mouth,High,Yes,19,29,High,Good
Gears of War: Ultimate Edition,High,No,15,39,Low,Bad
NBA 2K13,High,Yes,50,22,Low,Good
Dragon Ball Z: Budokai Tenkaichi 3,Average,No,37,13,Medium,Good
wwe Smackdown vs. Raw 2006,High,Yes,27,37,Low,Good
Middle-Earth: Shadow of Mordor,High,No,30,11,Medium,Good
Star Fox,High,Yes,19,11,High,Good
The Sims: Livin Large,High,No,26,16,Low,Good
World Soccer Winning Eleven 6 International,Low,No,15,25,High,Bad
Devil May Cry,Average,Yes,41,21,Medium,Good
Animal Crossing: Happy Home Designer,Average,Yes,35,26,Medium,Good
Battlefield: Bad Company 2,Average,Yes,24,36,Medium,Good
The Sims 4,High,No,44,25,Medium,Good
Star Wars: The Old Republic,Low,Yes,31,29,High,Bad
Sonic Heroes,High,Yes,15,19,High,Good
Kirby Super Star Ultra,High,No,30,24,Medium,Good
Hitman 2: Silent Assassin,Average,No,48,33,Medium,Good
Street Fighter IV,High,Yes,36,17,Medium,Good
Wave Race 64,Low,No,28,19,High,Bad
SOCOM II: U.S. Navy SEALs,Average,No,45,29,High,Good
WWE SmackDown! vs. RAW 2006,High,No,22,32,Low,Good
inFAMOUS,High,No,17,19,Low,Bad
Pac-Man Collection,High,Yes,10,35,High,Good
Mass Effect,Low,Yes,14,10,Medium,Bad
WarioWare: Smooth Moves,High,No,35,39,High,Good
Cooking Mama: Cook Off,Low,No,10,15,Medium,Bad
Super Mario World 2: Yoshi's Island,High,No,37,10,Low,Good
FIFA 14,High,Yes,24,14,High,Good
Titanfall,High,Yes,49,18,Low,Good
Sonic Mega Collection Plus,High,Yes,16,36,High,Good
Sega Superstars Tennis,High,Yes,26,38,Medium,Good
World Soccer Winning Eleven 7 International,Low,No,30,13,Low,Bad
Need for Speed: Most Wanted,High,Yes,44,13,High,Good
