Title,Rating,Popular,SalesPerWeek,Price,ReqSpec,Overall
Sonic Riders: Zero Gravity,High,Yes,14,29,Medium,Good
Driver: San Francisco,High,Yes,50,30,Low,Good
UFC: Sudden Impact,Average,No,39,26,High,Good
Shawn Johnson Gymnastics,High,Yes,37,34,Medium,Good
NBA Hoopz,High,Yes,10,37,High,Good
Captain America: Super Soldier,High,Yes,46,23,Low,Good
TRON: Evolution,Average,No,26,37,High,Good
Pac-Man World 3,High,No,13,33,Low,Bad
ESPN X Games Skateboarding,Low,Yes,47,21,Low,Bad
Nancy Drew: The Hidden Staircase,High,No,36,21,High,Good
Brunswick Cosmic Bowling,High,No,14,29,High,Bad
Star Wars: Battlefront II,High,Yes,50,27,High,Good
Speedball 2100,High,Yes,14,34,Low,Good
LEGO Island 2: The Brickster's Revenge,High,Yes,50,34,Low,Good
College Hoops 2K8,Average,No,40,30,Low,Good
FIFA 17,High,No,14,39,Low,Bad
Fancy Nancy: Tea Party Time!,High,No,37,14,Medium,Good
Backyard Basketball,High,No,22,14,Medium,Good
Madden NFL 09,High,No,37,32,High,Good
Scooby-Doo! Unmasked,Low,Yes,33,29,High,Bad
Summon Night 4,Low,No,19,13,High,Bad
Pro Yaky? Spirits 5,Average,Yes,31,39,Medium,Good
NHL 2004,High,No,41,17,High,Good
Namco Museum: 50th Anniversary,High,Yes,34,20,Medium,Good
You Don't Know Jack,High,Yes,29,36,Low,Good
Marvel Super Hero Squad: The Infinity Gauntlet,High,No,49,33,Medium,Good
NFL 2K2,High,Yes,24,38,High,Good
My French Coach,High,Yes,21,32,High,Good
Camp Rock: The Final Jam,Average,No,30,22,Medium,Good
NBA Starting Five,High,Yes,40,27,Medium,Good
Castlevania Judgment,High,Yes,37,11,Low,Good
Dead or Alive Paradise,High,No,36,31,Low,Good
The Suffering: Ties That Bind,High,No,14,28,Low,Bad
Disney Sing It: Family Hits,Low,Yes,21,17,Medium,Bad
Ashes Cricket 2009,Average,No,10,30,Medium,Bad
EyeToy: Kinetic,High,Yes,19,22,High,Good
Petz: Horseshoe Ranch,High,Yes,23,19,Medium,Good
Army Men: Sarge's Heroes 2,Average,Yes,10,12,High,Bad
Stormrise,Average,No,34,27,Low,Good
Yu-Gi-Oh! Zexal World Duel Carnival,Average,Yes,23,34,High,Good
Winning Eleven: Pro Evolution Soccer 2007,High,No,41,24,Low,Good
Green Lantern: Rise of the Manhunters,Average,No,26,12,Medium,Good
Monkey Island: Special Edition Collection,High,No,31,38,High,Good
Broken Sword: Shadows of the Templars - The Director's Cut,High,Yes,18,23,High,Good
The Wild Thornberrys: Animal Adventures,Average,Yes,43,16,Low,Good
MotoGP 10/11,Low,Yes,42,31,High,Bad
Jikkyou Powerful Pro Baseball 2016,High,No,21,17,Medium,Good
SEGA Bass Fishing Duel,High,No,31,36,Low,Good
Teen Titans,High,Yes,32,27,Low,Good
Hyperdimension Neptunia U: Action Unleashed,Average,Yes,49,16,High,Good
Sports Illustrated for Kids: Baseball,High,Yes,13,31,Medium,Good
Fairytale Fights,Average,No,17,16,Medium,Bad
Mark Davis Pro Bass Challenge,Average,No,24,10,Medium,Good
Rugrats: Royal Ransom,High,Yes,28,30,Low,Good
Warriors of Might and Magic,High,No,45,12,Medium,Good
Open Season,High,No,18,34,Medium,Bad
The Chronicles of Narnia: Prince Caspian,Average,Yes,10,35,Low,Bad
Back to the Future: The Game,High,Yes,42,11,High,Good
Project Spark,Average,Yes,24,30,High,Good
Backyard Sports Football: Rookie Rush,High,No,14,39,High,Bad
Street Fighter: The Movie,Low,No,29,37,Medium,Bad
Lost in Blue 3,Average,No,48,17,High,Good
World Championship Poker,Low,No,19,34,Medium,Bad
Global Defence Force,High,No,14,27,Low,Bad
Rapala Fishing Frenzy 2009,High,No,26,39,High,Good
Major League Baseball 2K6,Low,No,13,36,Low,Bad
Major League Baseball 2K9,High,No,26,36,Low,Good
SaGa 2: Hihou Densetsu - Goddess of Destiny,Average,No,13,28,Low,Bad
Smash Court Tennis Pro Tournament,Low,Yes,25,29,Low,Bad
The Cursed Crusade,High,Yes,21,36,High,Good
Super Robot Taisen L,High,No,12,11,Medium,Bad
The Grim Adventures of Billy & Mandy,High,Yes,11,32,High,Good
NBA Inside Drive 2004,High,Yes,30,12,High,Good
The King of Fighters '97,High,Yes,24,28,High,Good
Dungeon Siege III,Average,No,25,40,Low,Good
Cabela's Big Game Hunter: Hunting Party,Average,Yes,33,30,Low,Good
Time Commando,Low,Yes,26,16,Medium,Bad
Professional Fisherman's Tour: Northern Hemisphere,High,Yes,25,20,Low,Good
Iron Chef America: Supreme Cuisine,Average,Yes,23,15,Medium,Good
Kekkaishi: Karasumori Ayakashi Kidan,Average,No,18,30,High,Bad
Gretzky NHL 2005,High,Yes,28,35,Medium,Good
FaceBreaker,High,Yes,38,12,High,Good
Squeeballs Party,Low,Yes,32,28,Medium,Bad
NCAA Football 09 All-Play,Average,No,36,13,Medium,Good
Yakuza Zero: The Place of Oath,Average,Yes,15,39,Low,Bad
The Hobbit,Low,Yes,25,15,Low,Bad
The Secret World,High,No,27,20,Medium,Good
NHL 2K9,High,Yes,46,18,Medium,Good
X-Men: The Official Game,High,No,32,32,Medium,Good
True Crime: New York City,Average,Yes,19,12,Medium,Bad
Metal Arms: Glitch in the System,Low,No,22,19,Low,Bad
PlayStation Move Heroes,High,No,30,37,Medium,Good
The Idolm@ster: Shiny Festa - Honey Sound / Funky Note / Groovy Tune,High,No,39,36,Low,Good
Ice Age: Dawn of the Dinosaurs,High,No,22,17,High,Good
ESPN Final Round Golf 2002,High,Yes,22,20,Medium,Good
MDK2 Armageddon,High,Yes,38,40,Low,Good
Exhibition Volume 02,Low,Yes,23,21,High,Bad
Watchmen: The End is Nigh - The Complete Experience,High,No,10,13,Medium,Bad
Fight Night Round 2,High,Yes,10,14,High,Good
Sudoku Gridmaster,Low,No,42,24,Low,Bad
Disney's Atlantis: The Lost Empire,High,Yes,34,38,High,Good
Power Pro Kun Pocket,High,No,41,27,Low,Good
The King of Fighters '97,Average,Yes,45,14,Low,Good
Tamagotchi no Narikiri Challenge,High,No,45,31,Low,Good
Goosebumps HorrorLand,Average,Yes,28,21,Medium,Good
One Piece: Unlimited World Red,High,No,27,29,High,Good
Space Battleship Yamato: Harukanaru Hoshi Iscandar,High,Yes,19,35,Low,Good
Sound Novel Evolution 1: Otogirisou Sosei-Hen,High,No,44,12,High,Good
Dementium: The Ward,Average,Yes,14,16,Low,Bad
Psi-Ops: The Mindgate Conspiracy,Average,Yes,48,25,High,Good
SWAT: Global Strike Team,High,No,34,23,High,Good
Despicable Me: The Game,Low,Yes,50,31,Medium,Bad
MX World Tour Featuring Jamie Little,Average,No,45,12,Medium,Good
Goblin Commander: Unleash the Horde,Low,No,25,11,Low,Bad
Hello Kitty: Happy Party Pals,High,No,32,32,Medium,Good
Ringling Bros. and Barnum & Bailey: Circus Friends,Average,Yes,14,13,High,Good
Backyard NFL Football '09,High,No,35,16,Medium,Good
World Destruction League: Thunder Tanks,Low,No,32,16,Medium,Bad
Shin Megami Tensei IV: Final,High,No,29,21,Medium,Good
Age of Empires III: Complete Collection,Average,No,42,20,Low,Good
Finding Nemo: Escape to the Big Blue,Average,No,12,33,High,Bad
Backyard Baseball '10,Low,Yes,29,23,Medium,Bad
Resident Evil Director's Cut: Dual Shock Edition,Low,No,30,35,High,Bad
The Lord of the Rings: Aragorn's Quest,Low,Yes,10,39,High,Bad
Top Spin 2,High,Yes,50,27,Low,Good
N3 II: Ninety-Nine Nights,Average,Yes,50,20,High,Good
The King of Fighters '95,Average,No,22,13,Medium,Good
RoadKill,High,Yes,36,23,High,Good
Hanjuku Eiyuu Tai 3D,Average,No,15,35,High,Bad
.hack//G.U. Vol.3//Redemption,High,Yes,35,15,Medium,Good
Chuck E. Cheese's Party Games,High,Yes,22,27,Low,Good
Super Robot Taisen Compact 2 Dai-1-Bu,High,No,36,29,Low,Good
Looney Tunes: Back in Action,High,No,46,26,Medium,Good
Tak: The Great Juju Challenge,Low,No,34,31,Low,Bad
Macross Ultimate Frontier,Average,Yes,24,38,Low,Good
Cabela's Legendary Adventures,Average,No,13,34,Medium,Bad
Jillian Michaels Fitness Ultimatum 2011,High,No,46,26,Medium,Good
Pursuit Force: Extreme Justice,Average,No,30,25,High,Good
Backbreaker,Average,Yes,26,32,Low,Good
Hunter: The Reckoning Redeemer,Low,No,12,37,Low,Bad
The Rise of the Argonauts,Average,No,16,10,Medium,Bad
NHL 07,High,Yes,36,35,Medium,Good
Pro Evolution Soccer 2014,Average,Yes,39,15,High,Good
Tokyo Xtreme Racer,Low,No,37,29,Low,Bad
Fighter Maker,High,Yes,23,24,High,Good
Bee Movie Game,High,Yes,43,36,Low,Good
Backyard NFL Football '10,High,No,22,30,Medium,Good
Professor Heinz Wolff's Gravity,High,Yes,50,34,Low,Good
Thief: Deadly Shadows,High,No,47,38,Medium,Good
Buzz! Brain of the UK,High,No,38,27,High,Good
NBA 09: The Inside,High,Yes,11,25,Medium,Good
Transformers: Prime,High,No,26,16,Medium,Good
Batman Begins,Average,No,25,19,Low,Good
Transformer: Rise of the Dark Spark,Average,No,18,40,Low,Bad
Glover,Low,No,28,10,Low,Bad
Dragon Ball GT: Game Boy Advance Video Volume 1,High,No,46,11,Medium,Good
Luxor 3,High,No,37,38,Medium,Good
Bratz Kidz,High,Yes,24,30,Low,Good
Fairytale Fights,High,Yes,14,23,Medium,Good
James Cameron's Dark Angel,Average,Yes,26,33,Low,Good
MotoGP 09/10,High,Yes,38,35,Low,Good
Mahjong Fight Club,Low,Yes,24,29,Low,Bad
World Driver Championship,Average,Yes,25,19,High,Good
Bomberman 64: The Second Attack!,High,No,40,25,High,Good
Turok 3: Shadow of Oblivion,Low,No,29,34,Medium,Bad
Spawn: Armageddon,Average,Yes,36,11,Medium,Good
Codename: Kids Next Door: Game Boy Advance Video Volume 1,Average,Yes,19,22,Low,Bad
Zoo Hospital,High,No,31,11,High,Good
Pokémon Beach Blank-out Blastoise / Go West Young Meowth Game Boy Advance Video,High,Yes,32,12,Low,Good
Time and Eternity,Average,No,28,12,High,Good
Major League Baseball 2K9,High,No,35,32,Low,Good
Gundam Assault Survive,Average,No,15,13,Medium,Bad
Disney TH!NK Fast: The Ultimate Trivia Showdown,Average,No,22,14,Medium,Good
Fate/Stay Night [Réalta Nua],High,Yes,43,23,High,Good
Disney's Home on the Range,High,Yes,23,30,Medium,Good
Sid Meier's Civilization IV,High,No,25,11,High,Good
Jikkyou Powerful Pro Yakyuu 2013,Low,No,30,31,Medium,Bad
Space Griffon VF-9,High,Yes,50,26,Medium,Good
Family Feud Decades,High,No,28,14,High,Good
NBA Live 16,High,Yes,14,25,Low,Good
CSI: Fatal Conspiracy,High,Yes,34,34,High,Good
Solitaire Overload Plus,High,Yes,35,37,High,Good
.hack//G.U. Vol.1//Rebirth,High,Yes,18,33,High,Good
Gyakuten Saiban 3,High,Yes,36,22,Medium,Good
Tak: Mojo Mistake,High,No,35,22,High,Good
Gallop Racer 2001,High,No,44,31,High,Good
Nightmare Creatures II,High,No,17,19,Low,Bad
Marble Saga: Kororinpa,High,No,48,16,High,Good
Fuzion Frenzy 2,High,No,32,11,Medium,Good
Catwoman,Average,No,49,26,Low,Good
Monsters vs. Aliens,High,Yes,46,16,Low,Good
Country Dance: All Stars,Average,No,44,39,Medium,Good
Garfield: Lasagna World Tour,Average,No,40,26,High,Good
Teenage Mutant Ninja Turtles: Game Boy Advance Video Volume 1,High,Yes,35,18,High,Good
Disney's Planes,Average,Yes,11,28,Medium,Bad
Bomberman Land,Average,Yes,33,34,Medium,Good
Bomberman B-Daman,Average,No,35,27,Low,Good
Terminator 3: The Redemption,Low,Yes,37,30,Low,Bad
World Destruction League: Thunder Tanks,Average,Yes,49,23,Low,Good
Beat Down: Fists of Vengeance,High,Yes,40,38,Low,Good
Reloaded,High,No,30,29,High,Good
Sword of the Samurai,Low,No,50,35,Low,Bad
MotoGP 15,Average,No,11,30,Medium,Bad
SSX On Tour,High,Yes,23,18,Medium,Good
Hot Wheels: Beat That!,High,Yes,32,40,Low,Good
G-Force,Average,No,27,34,High,Good
James Bond 007: Everything or Nothing,Low,Yes,33,14,Low,Bad
Naruto Shippuden: Ultimate Ninja 5,High,No,15,16,High,Bad
Shrek Extra Large,Average,Yes,49,17,Medium,Good
Final Fantasy V,High,No,15,24,Low,Bad
World Tour Soccer 2006,Low,Yes,13,17,High,Bad
Gunvalkyrie,High,No,21,32,Medium,Good
NickToons: Racing,Average,No,50,11,Low,Good
VR Golf '97,Low,Yes,32,23,Low,Bad
Michael Jackson: The Experience 3D,Low,No,28,29,Low,Bad
State of Emergency,Average,Yes,43,36,Medium,Good
Digimon Story: Cyber Sleuth,High,No,26,21,Low,Good
Off-World Interceptor Extreme,High,Yes,18,24,Medium,Good
Bakugan Battle Brawlers: Defenders of the Core,Average,Yes,30,33,Low,Good
Disney Golf,High,No,49,38,Medium,Good
The Naked Brothers Band: The Video Game,High,Yes,38,31,Low,Good
Custom Robo Arena,High,Yes,43,21,High,Good
Clock Tower II: The Struggle Within,Low,No,49,40,Low,Bad
Batman Beyond: Return of the Joker,High,No,39,11,High,Good
Surf's Up,Average,Yes,18,29,Low,Bad
Jikkyou Powerful Pro Baseball 2016,High,Yes,29,22,Medium,Good
Mega Man Network Transmission,Average,Yes,40,37,High,Good
I'm A Celebrity: Get Me Out of Here!,High,No,10,25,Medium,Bad
Pursuit Force,High,No,10,27,High,Bad
Densetsu no Stafi 4,Average,Yes,11,24,Low,Bad
Shin Megami Tensei: Devil Summoner 2 - Raidou Kuzunoha vs. King Abaddon (JP sales),High,No,27,31,Medium,Good
Naval Assault: The Killing Tide,Low,Yes,15,24,Low,Bad
Tokimeki Memorial: Private Collection,Low,Yes,35,19,Low,Bad
RC Revenge Pro,Low,No,13,31,Low,Bad
Valkyria Chronicles,Low,Yes,11,39,Medium,Bad
Hellboy: The Science of Evil,Average,Yes,16,18,Medium,Bad
Backyard Wrestling: Don't Try This at Home,High,No,40,35,Medium,Good
Zoo Keeper,Low,No,38,18,High,Bad
Gauntlet: Dark Legacy,Average,No,41,26,Low,Good
Toukiden Kiwami,High,No,28,29,Low,Good
Far East of Eden II: Manji Maru,High,Yes,49,25,Low,Good
Lost Kingdoms,Average,No,19,19,High,Bad
WRC 2: FIA World Rally Championship,Average,Yes,35,20,Low,Good
Blood Bowl,Low,No,35,19,Low,Bad
Matchbox Cross Town Heroes,High,Yes,28,35,Medium,Good
Wolfenstein 3D,High,No,46,16,Medium,Good
Nobunaga no Yabou: Tenshoki,High,Yes,15,34,Medium,Good
Learning to Spell,High,No,36,20,Medium,Good
"Go, Diego, Go! Safari Rescue",High,No,17,19,Low,Bad
Super Power League,Average,No,43,33,High,Good
Easy Piano,High,Yes,41,33,Medium,Good
Street Fighter Alpha 2,High,Yes,48,23,High,Good
Dragon Quest X,Average,Yes,16,10,Medium,Bad
Payday 2,High,Yes,30,32,Low,Good
25 to Life,High,Yes,21,31,Low,Good
Sumikko Gurashi: Koko ga Ochitsukundesu,High,No,23,18,Low,Good
NASCAR '15,High,No,43,33,Low,Good
TransFormers Animated: The Game,High,No,12,24,Low,Bad
Fracture,High,Yes,46,38,Low,Good
Sega Superstars,Average,Yes,33,34,High,Good
Midway Arcade Treasures,Average,No,35,18,Medium,Good
Leisure Suit Larry: Magna Cum Laude,High,Yes,32,12,High,Good
Mousetrap / Operation / Simon,High,No,25,32,Medium,Good
Klonoa,Average,Yes,48,22,High,Good
Splatterhouse,Low,Yes,36,36,Medium,Bad
NBA 09: The Inside,High,Yes,41,36,High,Good
Spyro: Shadow Legacy,Average,Yes,18,20,Low,Bad
Resident Evil,High,No,10,24,Low,Bad
Wildstar,Average,No,24,33,Low,Good
Dragon Ball: Fusions,Average,Yes,49,27,Medium,Good
Apache: Air Assault,Average,Yes,45,24,Medium,Good
TOEIC Test Training DS,High,No,23,27,High,Good
Jikkyou Powerful Pro Yakyuu 2014,High,Yes,33,32,Medium,Good
Senran Kagura: Estival Versus,High,Yes,14,39,Low,Good
Itoi Shigesato no Bass Tsuri No. 1,High,No,19,39,Medium,Bad
Cubivore: Survival of the Fittest,High,No,35,34,High,Good
The Sims 3: Seasons,Low,Yes,50,23,High,Bad
Anarchy Reigns,High,No,20,22,High,Bad
FlatOut,Average,No,10,20,High,Bad
Project X Zone 2: Brave New World,Average,No,17,12,High,Bad
NCAA Basketball 09,Low,Yes,34,27,Low,Bad
Bakugan Battle Brawlers: Defenders of the Core,Average,Yes,30,12,Low,Good
Mr. Do!'s Castle,High,Yes,46,13,Low,Good
Death Trap,High,Yes,10,28,Medium,Good
Armor Ambush,High,Yes,14,24,High,Good
Parodius,High,Yes,10,17,Medium,Good
Thrillville: Off the Rails,High,Yes,13,11,High,Good
Hyperdimension Neptunia Victory,High,Yes,48,21,Medium,Good
Taz Wanted,Average,Yes,10,39,Low,Good
Mobile Suit Gundam: Extreme VS Force,High,No,12,19,Medium,Bad
Sid Meier's Pirates!,Low,No,16,29,High,Bad
MLB 16: The Show,Low,No,27,14,High,Bad
Phantasy Star Online 2,High,No,35,28,High,Good
Vehicular Combat League presents Motor Mayhem,High,Yes,20,37,High,Good
PoPoLoCrois: Hajimari no Bouken,High,No,23,38,Low,Good
Star Wars: Super Bombad Racing,High,No,33,31,High,Good
Hamster Heroes,High,Yes,25,35,Low,Good
Hot Wheels Velocity X,High,Yes,33,31,Medium,Good
Ar Nosurge: Ode to an Unborn Star,High,No,34,39,High,Good
